Title Code,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity,title_en_clean,title_hi_clean,periodicity_tag,detected_lang_en,metaphone_code,soundex_code
NOF00025,ANUJA TIMES,,48613.0,48613/ 0,NOF,,,,anuja times,,U,en,ANJ TMS,A523
NOF00028,NEEL GAGAN SAMACHAR TIMES,,58610.0,58610/ 94,NOT GIVEN,,,A,neel gagan times,,U,en,NL KKN TMS,N422
NOFHIN00548,AAP SUB KA SAHARA TIMES,,55677.0,55677/ 92,NOT GIVEN,,,W,aap sub ka sahara times,,U,en,P SB K SHR TMS,A121
NOFHIN00556,JAN JAGRAN TIMES,,62359.0,62359/ 94,NOT GIVEN,,,W,jan jagran times,,U,en,JN JKRN TMS,J522
ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D,times,टड टइमस,U,en,TMS,T520
ANDENG00160,THE KING TIMES,द किंग टाइम्स,136478.0,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D,king times,द कग टइमस,U,en,KNK TMS,K523
ANDENG00127,EMERALD TIMES,एमरलैंड टाइम्स,113839.0,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F,emerald times,एमरलड टइमस,U,en,EMRLT TMS,E564
ANDENG00029,THE PORT BLAIR TIMES,द पोर्ट ब्लेयर टाइम्स,63762.0,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W,port blair times,द परट बलयर टइमस,U,en,PRT BLR TMS,P631
ANDENG00033,THE DAWN TIMES,द डॉन टाइम्स,64487.0,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D,dawn times,द डन टइमस,U,en,TN TMS,D535
ANDENG00187,THE TIMES OF ANDAMAN,,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D,times of andaman,,U,en,TMS OF ANTMN,T521
ANDENG00052,NEW ISLAND TIMES,न्यू आइलैंड टाइम्स,72242.0,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W,new island times,नय आइलड टइमस,U,en,N ISLNT TMS,N245
