Title C de,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity
NOF00025,ANUJA TIMES,,48613.0,48613/ 0,NOF,,,
NOF00028,NEEL GAGAN SAMACHAR TIMES,,58610.0,58610/ 94,NOT GIVEN,,,A
NOFHIN00548,AAP SUB KA SAHARA TIMES,,55677.0,55677/ 92,NOT GIVEN,,,W
NOFHIN00556,JAN JAGRAN TIMES,,62359.0,62359/ 94,NOT GIVEN,,,W
ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
ANDENG00160,THE KING TIMES,द किंग टाइम्स,136478.0,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D
ANDENG00127,EMERALD TIMES,एमरलैंड टाइम्स,113839.0,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F
ANDENG00029,THE PORT BLAIR TIMES,द पोर्ट ब्लेयर टाइम्स,63762.0,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W
ANDENG00033,THE DAWN TIMES,द डॉन टाइम्स,64487.0,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00187,THE TIMES OF ANDAMAN,,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00052,NEW ISLAND TIMES,न्यू आइलैंड टाइम्स,72242.0,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
APTEL14486,SHANTHI TIMES,,135257.0,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
APTEL15851,ANANTA TIMES,,153959.0,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D
APTEL16160,AKSHRA TIMES,,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D
APTEL15581,KADIRI TIMES,,150631.0,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
APTEL15823,BHAGAVAN TIMES,,,,GADDAM SREEDHAR,AP,ANANTAPUR,D
